Organisation name,Type of organisation,Organisational body,Position,Title,First name,Last name(s),Gender
Jeddah Central Development Company,Azienda,Consiglio di amministrazione,Member,Dr,Khaled,Omar Azzam,Male
Jeddah Central Development Company,Azienda,Consiglio di amministrazione,Member,Eng,Osama,Qabbani,Male
Jeddah Central Development Company,Azienda,Consiglio di amministrazione,Vice chairman,HE,Ahmed,Al-Khateeb,Male
Judo Union of Asia,Organizzazione sportiva,Comitato esecutivo,Executive member Sports for Peace,,Abdulaziz,Al-Bassam,Male
Judo Union of Asia,Organizzazione sportiva,Comitato esecutivo,Referee Director,,Nabeel,Abdrabalnabi,Male
KAFD,Azienda,Consiglio di amministrazione,Chairman,Eng,Aiman,Mohammed Al-Mudaifer,Male
KAFD,Azienda,Consiglio di amministrazione,Chief executive officer,Eng,Giovanni,Pagano,Male
KAFD,Azienda,Consiglio di amministrazione,Member,,Bander,bin Abdulrahman bin Mogren,Male
KAFD,Azienda,Consiglio di amministrazione,Member,Eng,Saleh,Ibrahim Aloraini,Male
KAFD,Azienda,Consiglio di amministrazione,Member,Eng,Bassam,Mohammed Albassam,Male
KAFD,Azienda,Consiglio di amministrazione,Member,Mr.,Hathal,Saad Alutaibi,Male
KAFD,Azienda,Consiglio di amministrazione,Member,Mr.,Mohammed,Turki Al-Sudairy,Male
KAFD,Azienda,Consiglio di amministrazione,Vice chairman,Mr.,Yasir,Abdullah Al-Salman,Male
Kingdom Holding Company,Azienda,Consiglio di amministrazione,Chairman,HRH Prince,Alwaleed,bin Talal Al-Saud,Male
Kingdom Holding Company,Azienda,Consiglio di amministrazione,Chief executive officer,Eng,Talal,Ibrahim Almaiman,Male
Kingdom Holding Company,Azienda,Consiglio di amministrazione,Deputy chairman,Dr,Khaled,Abdullah Al-Souhem,Male
Kingdom Holding Company,Azienda,Consiglio di amministrazione,Member,Eng,Taher,Mohammed Omar Agueel,Male
Kingdom Holding Company,Azienda,Consiglio di amministrazione,Member,,Sarmad,Nabil Zok,Male
Kingdom Holding Company,Azienda,Consiglio di amministrazione,Member,,Hisham,Suleiman Al-Habib,Male
Kingdom Holding Company,Azienda,Direzione esecutiva,Executive Director for Domestic Projects,,Nada,S. Al-Ateegi,Male
Kingdom Holding Company,Azienda,Direzione esecutiva,Executive Director for Finance and Administration,,Adel,bin Abdulaziz Al-Abdulsalam,Male
Kingdom Holding Company,Azienda,Direzione esecutiva,Executive Director for International Investments,,Tamim,Bassam Jabr,Male
LIV Golf,Organizzazione sportiva,Consiglio di amministrazione,Chairman,HE,Yasir,Al-Rumayyan,Male
LIV Golf,Organizzazione sportiva,Direzione esecutiva,Chief executive officer,,Greg,Norman,Male
Lucid Motors,Azienda,Consiglio di amministrazione,Chairman,,Turqi,Al-Nowaiser,Male
Ma'aden,Azienda,Consiglio di amministrazione,Chairman,HE,Yasir,Al-Rumayyan,Male
Ma'aden,Azienda,Consiglio di amministrazione,Deputy chairman,,Abdulaziz,Al-Jarbou,Male
Ma'aden,Azienda,Consiglio di amministrazione,Member,HE,Suliman,Al-Gwaiz,Male
Ma'aden,Azienda,Consiglio di amministrazione,Member,HE Eng,Khalid,Al-Mudaifer,Male
Ma'aden,Azienda,Consiglio di amministrazione,Member,,Nabila,Al-Tunisi,Female
Ma'aden,Azienda,Consiglio di amministrazione,Member,,Sofia,Bianchi,Female
Ma'aden,Azienda,Consiglio di amministrazione,Member,,Abdallah,bin Jum'ah,Male
Ma'aden,Azienda,Consiglio di amministrazione,Member,,Ganesh,Kishore,Male
Ma'aden,Azienda,Consiglio di amministrazione,Member,,Richard,O’Brien,Male
Ma'aden,Azienda,Consiglio di amministrazione,Member,,Robert,Wilt,Male
Ma'aden,Azienda,Consiglio di amministrazione,Member,,Mohammed,Y. Al-Qahtani,Male
Mahd Sports Academy,Azienda,Consiglio di amministrazione,Chairman,HRH Prince,Abdulaziz,bin Turki bin Faisal Al-Saud,Male
Mahd Sports Academy,Azienda,Consiglio di amministrazione,Member,,Abdulaziz,bin Ahmed Baeshen,Male
Mahd Sports Academy,Azienda,Consiglio di amministrazione,Member,Dr,Maha,bint Ahmed Al-Juffali,Female
Mahd Sports Academy,Azienda,Consiglio di amministrazione,Member,HRH Princess,Reema,bint Bandar Al-Saud,Female
Mahd Sports Academy,Azienda,Consiglio di amministrazione,Member,,Ioan,Lupescu,Male
Mahd Sports Academy,Azienda,Consiglio di amministrazione,Member,,Government representative,Ministry of Education,
Mahd Sports Academy,Azienda,Consiglio di amministrazione,Member,,Government representative,Ministry of Finance,
Mahd Sports Academy,Azienda,Consiglio di amministrazione,Member,,Jose,Mourinho,Male
Ministry of Commerce,Ministero,Ministero,Deputy Minister of Business,,Abdulsalam,bin Abdullah Al-mana,Male
Ministry of Commerce,Ministero,Ministero,Deputy Minister of Planning & Development,,Abdullah,bin Saud Al-Arifi,Male
Ministry of Commerce,Ministero,Ministero,Deputy Minister of Ploicies & Regulations Affairs,,Abdul,Aziz Saud Al-Duhaim,Male
Ministry of Commerce,Ministero,Ministero,Deputy Minister of Shared Services,,Mohammed,Al-Waily,Male
Ministry of Commerce,Ministero,Ministero,Minister,HE,Majid,bin Abdullah Al-Qasabi,Male
Ministry of Commerce,Ministero,Ministero,Vice Minister of Commerce,Dr,Eman,bin Habbas Al-mutairi,Female
Ministry of Communications and Information Technology,Ministero,Ministero,Minister,HE Eng,Abdullah,bin Amer Al-Swaha,Male
Ministry of Culture,Ministero,Ministero,Minister,HH Prince,Badr,bin Abdullah bin Mohammed bin Farhan Al-Saud,Male
Ministry of Defense,Ministero,Ministero,Minister,HRH Prince,Khalid,bin Salman bin Abdulaziz Al-Saud,Male
Ministry of Economy and Planning,Ministero,Ministero,Minister,HE,Faisal,bin Fadel bin Mohsen Al-Ibrahim,Male
Ministry of Education,Ministero,Ministero,Minister,HE,Yousef,bin Abdullah Al-Benyan,Male
Ministry of Energy,Ministero,Ministero,Minister,HRH Prince,Abdulaziz,bin Salman bin Abdulaziz Al-Saud,Male
"Ministry of Environment, Water and Agriculture",Ministero,Ministero,Minister,HE Eng,Abdulrahman,bin Abdulmohsen Al-Fadhly,Male
"Ministry of Environment, Water and Agriculture",Ministero,Ministero,Vice Minister,Eng,Mansour,bin Hilal Al Mushaiti,Male
Ministry of Finance,Ministero,Ministero,Minister,HE,Mohammed,bin Abdullah Al-Jadaan,Male
Ministry of Foreign Affairs,Ministero,Ministero,Foreign minister,HRH Prince,Faisal,bin Farhan Al-Saud,Male
Ministry of Haj and Umra,Ministero,Ministero,Minister,HE Dr.,Tawfiq,bin Fawzan Al-Rabiah,Male
Ministry of Health,Ministero,Ministero,Deputy Minister,,Abdulrahman,Al-Aiban,Male
Ministry of Health,Ministero,Ministero,Deputy Minister,Dr,Talal,bin Abdul-Rahman Al-Tuwaijri,Male
Ministry of Health,Ministero,Ministero,Deputy Minister,Dr,Tareef,Yousef Al-aama,Male
Ministry of Health,Ministero,Ministero,Minister,,Fahad,bin Abdurrahman Al-Jalajel,Male
Ministry of Health,Ministero,Ministero,Vice Minister,Eng,Abdulaziz,Al-Ramaih,Male
Ministry of Human Ressource and Social Development,Ministero,Ministero,Assistant Minister for Shared Service Sector,HE,Ismail,Saeed Al-Ghamdi,Male
Ministry of Human Ressource and Social Development,Ministero,Ministero,Deputy Minister for Control and Development of Work Environment,HE,Sattam,bin Amer Al-Harbi,Male
Ministry of Human Ressource and Social Development,Ministero,Ministero,Deputy Minister for Customer Experience,HE,Raeed,bin Abdulaziz Al-Jarba,Male
Ministry of Human Ressource and Social Development,Ministero,Ministero,Deputy Minister for Digital Transformation,Eng,Faisal,bin Ahmed Bakhshwin,Male
Ministry of Human Ressource and Social Development,Ministero,Ministero,Deputy Minister for Human Capital Development,,Abdullah,bin Ali Al-Kabir,Male
Ministry of Human Ressource and Social Development,Ministero,Ministero,Deputy Minister for Human Capital Management,,Majed,Abdulaziz Mohammed bin Battal,Male
Ministry of Human Ressource and Social Development,Ministero,Ministero,Deputy Minister for Human Resources,HE,Mohammed,bin Abdullah Al-Maghlouth,Male
Ministry of Human Ressource and Social Development,Ministero,Ministero,Deputy Minister for International Affairs,Dr,Adnan,Al-Nuaim,Male
Ministry of Human Ressource and Social Development,Ministero,Ministero,Deputy Minister for Labor Affairs,HE Dr,Ahmed,bin Abdullah Al-Zahrani,Male
Ministry of Human Ressource and Social Development,Ministero,Ministero,Deputy Minister for Labor Affairs,HE Eng,Ahmed,bin Mohammed Al-Sharqi,Male
Ministry of Human Ressource and Social Development,Ministero,Ministero,Deputy Minister for Labor Market Policies,HE,Muhannad,bin Ahmed Al-Essa,Male
Ministry of Human Ressource and Social Development,Ministero,Ministero,Deputy Minister for Rehabilitation and Social Guidance,HE Dr,Abdullah,bin Ahmed Al-Wahaibi,Male
Ministry of Human Ressource and Social Development,Ministero,Ministero,Deputy Minister for Saudization,HE Eng,Majed,Al-Dahawi,Male
Ministry of Human Ressource and Social Development,Ministero,Ministero,Deputy Minister for Social Security and Empowerment,HE Eng,Soltan,bin Jorais Al-Jorais,Male
Ministry of Human Ressource and Social Development,Ministero,Ministero,Deputy Minister for Strategy & Vision Realization,,Rashid,bin Mohammed Al-Jalajil,Male
Ministry of Human Ressource and Social Development,Ministero,Ministero,Deputy Minister for Support Services,HE,Yasser,bin Abdulrahman Al-Babtain,Male
Ministry of Human Ressource and Social Development,Ministero,Ministero,Deputy Minister of Society Development,HE,Ahmed,bin Saleh bin Majed,Male
Ministry of Human Ressource and Social Development,Ministero,Ministero,Minister,HE Eng,Ahmed,bin Sulaiman Al-Rajhi,Male
Ministry of Human Ressource and Social Development,Ministero,Ministero,Vice Minister for Civil Service Sector,HE Eng,Maher,bin Abdulrahman Al-Qasim,Male
Ministry of Human Ressource and Social Development,Ministero,Ministero,Vice Minister for Labor Sector,HE Dr,Abdulla,Nasser Abuthnain,Male
Ministry of Human Ressource and Social Development,Ministero,Ministero,Vice Minister for Social Development,HE Mr,Majed,bin Abdulrahim Al-Ghanimi,Male
Ministry of Industry and Mineral Resources,Ministero,Ministero,Minister,HE,Bandar,bin Ibrahim Al-Khorayef,Male
Ministry of Interior,Ministero,Ministero,Minister,HRH Prince,Abdulaziz,bin Saud bin Naif bin Abdulaziz Al-Saud,Male
Ministry of Investment,Ministero,Ministero,Minister,HE Eng.,Khalid,bin,Male
"Ministry of Islamic Affairs, Dawah and Guidance",Ministero,Ministero,Minister,HE Sheikh,Abdullatif,bin Abdulaziz Al-Sheikh,Male
Ministry of Justice,Ministero,Ministero,Chief executive officer,HE Sheikh Dr,Walid,bin Muhammad Al-Sama'ani,Male
Ministry of Media,Ministero,Ministero,Minister,HE,Salman,Bin Yousef Bin Ali Al-Dosari,Male
"Ministry of Municipal, Rural Affairs and Housing",Ministero,Ministero,Minister,HE,Majid,bin Abdullah Al-Hogail,Male
Ministry of National Guard,Ministero,Ministero,Minister,HRH Prince,Abdullah,bin Bandar bin Abdulaziz Al-Saud,Male
Ministry of Sport,Ministero,Ministero,Minister,HRH Prince,Abdulaziz,bin Turki bin Faisal Al-Saud,Male
Ministry of Sport,Ministero,Ministero,Vice Minister,HE Mr,Bader,bin Abdulrahman Alkadi,Male
Ministry of Tourism,Ministero,Ministero,Assistant deputy of Investments Enablement,,Abdullah,Al-Harbi,Male
Ministry of Tourism,Ministero,Ministero,Assistant deputy of National Affairs,,Nada,Al-Tamimi,Female
Ministry of Tourism,Ministero,Ministero,Assistant deputy of Tourism Excellence,,Mishari,Al-Mishari,Male
Ministry of Tourism,Ministero,Ministero,Assistant minister,,Anas,Al-Solai,Male
Ministry of Tourism,Ministero,Ministero,Deputy Minister for Shared Services & General Supervisor of Human Resources,,Majed,Al-Debaikhi,Male
Ministry of Tourism,Ministero,Ministero,Deputy Minister Of Data & Decision Support,,Hassan,Jannah,Male
Ministry of Tourism,Ministero,Ministero,Deputy Minister of Digital Transformation and IT,,Aljoharah,Almogbel,Female
Ministry of Tourism,Ministero,Ministero,Deputy Minister Of Human Capital,,Mohamed,Bushnaq,Male
Ministry of Tourism,Ministero,Ministero,Deputy Minister of International Affairs,,Sultan,Al-Musallam,Male
Ministry of Tourism,Ministero,Ministero,Deputy Minister Of Policies and Regulations,,Moataz,Kurdi,Male
Ministry of Tourism,Ministero,Ministero,Deputy Minister of Tourism Destinations Enablement,,Mahmoud,Abdulhadi,Male
Ministry of Tourism,Ministero,Ministero,Minister,HE,Ahmed,Al-Khateeb,Male
Ministry of Tourism,Ministero,Ministero,Vice Minister of Tourism,HH Princess,Haifa,bint Mohammed Al-Saud,Female
Ministry of Transport and Logistics Services,Ministero,Ministero,Assistant Minister of Transportation and Logistic Services,HE,Ahmed,S. Al-Hassan,Male
Ministry of Transport and Logistics Services,Ministero,Ministero,Deputy Minister for Logistic Services,,Loay,Mashabi,Male
Ministry of Transport and Logistics Services,Ministero,Ministero,Deputy Minister for Roads​,Eng,Abdullah,bin Sulaiman Abdullah Al-sulaiman,Male
Ministry of Transport and Logistics Services,Ministero,Ministero,Deputy Minister for Support Services,,Badr,Abdullah Alsinaidi,Male
Ministry of Transport and Logistics Services,Ministero,Ministero,Deputy Minister of Planning & Information,Dr,Mansour,Al-Turki,Male
Ministry of Transport and Logistics Services,Ministero,Ministero,Deputy minister of Sector Enablement,Eng,Ebrahim,Saleh Alhamed,Male
Ministry of Transport and Logistics Services,Ministero,Ministero,Deputy Minister Of Transport & Logistic Services,HE Dr,Rumaih,Al-Rumaih,Male
Ministry of Transport and Logistics Services,Ministero,Ministero,Deputy Minister of Transport for Road Operation and Maintenance,Eng,Tareq,bin Ziyad Al-Shami,Male
Ministry of Transport and Logistics Services,Ministero,Ministero,Minister,HE Eng.,Saleh,bin Nasser Al-Jasser,Male
Ministry of Transport and Logistics Services,Ministero,Ministero,Vice Minister at the Ministry of Transport,Eng,Badr,Abdullah Al-Dulami,Male
National Development Fund,Altro,Consiglio di amministrazione,Chairman,HRH Crown Prince,Mohammed,bin Salman bin Abdulaziz Al-Saud,Male
National Development Fund,Altro,Consiglio di amministrazione,"Governor of National Development Fund, Member of the Board",,Stephen,Groff,Male
National Development Fund,Altro,Consiglio di amministrazione,Member,HE,Faisal,Al-Ibrahim,Male
National Development Fund,Altro,Consiglio di amministrazione,Member,HE,Mohammed,Al-Jadaan,Male
National Development Fund,Altro,Consiglio di amministrazione,Member,HE,Ahmed,Al-Khateeb,Male
National Development Fund,Altro,Consiglio di amministrazione,Member,HE,Ahmed,Al-Rajhi,Male
National Development Fund,Altro,Consiglio di amministrazione,Member,HE,Yasir,Al-Rumayyan,Male
National Development Fund,Altro,Consiglio di amministrazione,Member,HE,Ghassan,Al-Shibl,Male
National Development Fund,Altro,Consiglio di amministrazione,Member,HE Eng,Khalid,bin Abdulaziz Al-Falih,Male
National Development Fund,Altro,Consiglio di amministrazione,Member,HE,Majid,bin Abdullah Al-Hogail,Male
National Development Fund,Altro,Consiglio di amministrazione,Member,HE,Majid,bin Abdullah Al-Qasabi,Male
National Development Fund,Altro,Consiglio di amministrazione,Member,HE Dr,Fahad,bin Abdullah Toonsi,Male
National Development Fund,Altro,Consiglio di amministrazione,Member,HE Eng,Abdulrahman,bin Abdulmohsen Al-Fadhly,Male
National Development Fund,Altro,Consiglio di amministrazione,Member,HE,Bandar,bin Ibrahim Al-Khorayef,Male
National Development Fund,Altro,Consiglio di amministrazione,Member,HE,Hamad,bin Mohammed Al Al-Sheikh,Male
National Development Fund,Altro,Consiglio di amministrazione,Vice chairman,HE,Mohammad,Al-Tuwaijri,Male
National Development Fund,Altro,Direzione esecutiva,Chief of staff,,Khalid,Alsharif,Male
National Development Fund,Altro,Direzione esecutiva,Deputy governor for shared services,,Abdulrahman,Alruhaymi,Male
National Development Fund,Altro,Direzione esecutiva,"Development, Economic Research and Policy Support Deputy Governor",Dr,Ahmed,Al-Darwish,Male
National Development Fund,Altro,Direzione esecutiva,Funds Financial Oversight & Review Deputy Governor,,Ahmed,Sulaiman Al-Jasser,Male
National Development Fund,Altro,Direzione esecutiva,"Funds Planning, Monitoring & Development Deputy Governor",,Abdulelah,Alnemr,Male
National Development Fund,Altro,Direzione esecutiva,General Counsel,,Maha,Alfozan,Female
National Development Fund,Altro,Direzione esecutiva,Governor of National Development Fund,Dr,Stephen,Groff,Male
National Development Fund,Altro,Direzione esecutiva,Internal Audit Executive Director,,Daniah,Aljawini,Female
National Development Fund,Altro,Direzione esecutiva,Marketing and Corporate Communications Senior Executive Director,,Algasim,Hamidaddin,Male
National Development Fund,Altro,Direzione esecutiva,Treasury and Investment Deputy Governor,,Talal,Khoujah,Male
NEOM,Azienda,Consiglio di amministrazione,Chairman,HRH Crown Prince,Mohammed,bin Salman bin Abdulaziz Al-Saud,Male
NEOM,Azienda,Consiglio di amministrazione,Member,HE,Ahmed,Al-Khateeb,Male
NEOM,Azienda,Consiglio di amministrazione,Member,HE Eng,Ibrahim,bin Mohammed Al-Sultan,Male
NEOM,Azienda,Direzione esecutiva,CEO of ENOWA,,Peter,Terium,Male
NEOM,Azienda,Direzione esecutiva,"Chief development officer, THE LINE",,Denis,Hickey,Male
NEOM,Azienda,Direzione esecutiva,Chief environment officer,Dr,Richard,Bush,Male
NEOM,Azienda,Direzione esecutiva,Chief executive officer,,Nadhmi,Al-Nasr,Male
NEOM,Azienda,Direzione esecutiva,Chief financial officer,,Dirk,Van Schependom,Male
NEOM,Azienda,Direzione esecutiva,"Chief governance, risk and compliance officer",,Jassir,Al-Jassir,Male
NEOM,Azienda,Direzione esecutiva,Chief internal audit officer,,Jason,Davies,Male
NEOM,Azienda,Direzione esecutiva,Chief investment officer,Dr,Manar,Al Moneef,Female
NEOM,Azienda,Direzione esecutiva,Chief legal officer,,Stefan,Ricketts,Male
NEOM,Azienda,Direzione esecutiva,Chief projects officer,,Roberto,Penno,Male
NEOM,Azienda,Direzione esecutiva,Deputy chief executive officer,,Rayan,Fayez,Male
NEOM,Azienda,Direzione esecutiva,Head of Nature Region,Dr,Paul,Marshall,Male
NEOM,Azienda,Direzione esecutiva,Head of Sport,,Jan,Paterson,Female
NEOM,Azienda,Direzione esecutiva,Head of Tourism,,Niall,Gibbons,Male
NEOM,Azienda,Direzione esecutiva,"Health, Well-Being, and Biotech Sector Head",Dr,Mahmoud,Alyamani,Male
NEOM,Azienda,Direzione esecutiva,"Media Industries, Entertainment & Culture Managing Director",,Wayne,Borg,Male
NEOM,Azienda,Direzione esecutiva,NEOM Investment Fund Managing Director,,Majid,Mufti,Male
NEOM,Azienda,Direzione esecutiva,OXAGON CEO,,Vishal,Wanchoo,Male
NEOM,Azienda,Direzione esecutiva,Tonomus CEO,,Joseph,Bradley,Male
Newcastle United,Organizzazione sportiva,Consiglio di amministrazione,Chairman,HE,Yasir,Al-Rumayyan,Male
Newcastle United,Organizzazione sportiva,Consiglio di amministrazione,Member,,Abdulmajid,bin Ahmed Al-Haqbani,Male
Newcastle United,Organizzazione sportiva,Consiglio di amministrazione,Member,,Amanda,Louise Staveley,Female
Newcastle United,Organizzazione sportiva,Consiglio di amministrazione,Member,,Jamie,Reuben,Male
Newcastle United,Organizzazione sportiva,Consiglio di amministrazione,Member,,A. M. A.,Rezeeq,Male
nupco,Azienda,Consiglio di amministrazione,Chairman,HE,Fahad,bin Abdurrahman Al-Jalajel,Male
nupco,Azienda,Consiglio di amministrazione,Member,Eng,Waleed,Alakrash,Male
nupco,Azienda,Consiglio di amministrazione,Member,Dr,Nahar,Al-Azemi,Male
nupco,Azienda,Consiglio di amministrazione,Member,Dr,Fadi,Albuhairan,Male
nupco,Azienda,Consiglio di amministrazione,Member,HE Dr,Hisham,Al-Jadhaei,Male
nupco,Azienda,Consiglio di amministrazione,Member,,Yasser,Al-Qaidhan,Male
nupco,Azienda,Consiglio di amministrazione,Member,,Maha,Al-Sudairi,Female
nupco,Azienda,Consiglio di amministrazione,Member,,Mohammed,bin Ali Al-Mubarak,Male
nupco,Azienda,Consiglio di amministrazione,Member,,Raid,Ismail,Male
Olympic Council of Asia,Organizzazione sportiva,Consiglio di amministrazione,Vice president,HRH Prince,Abdulaziz,bin Turki bin Faisal Al-Saud,Male
Prime Minister of Saudi Arabia,Ministero,Ministero,Prime Minister,HRH Crown Prince,Mohammed,bin Salman bin Abdulaziz Al-Saud,Male
Public Investment Fund,Altro,Consiglio di amministrazione,Chairman,HRH Crown Prince,Mohammed,bin Salman bin Abdulaziz Al-Saud,Male
Public Investment Fund,Altro,Consiglio di amministrazione,Governor,HE,Yasir,Al-Rumayyan,Male
Public Investment Fund,Altro,Consiglio di amministrazione,Member,HE,Mohammed,Abdullah Al-Jadaan,Male
Public Investment Fund,Altro,Consiglio di amministrazione,Member,HE,Ahmed,Al-Khateeb,Male
Public Investment Fund,Altro,Consiglio di amministrazione,Member,HE,Mohammad,Al-Tuwaijri,Male
Public Investment Fund,Altro,Consiglio di amministrazione,Member,HE Eng,Khalid,bin Abdulaziz Al-Falih,Male
Public Investment Fund,Altro,Consiglio di amministrazione,Member,HE Dr,Ibrahim,bin Abdulaziz bin Abdullah Al-Assaf,Male
Public Investment Fund,Altro,Consiglio di amministrazione,Member,HE,Majid,bin Abdullah Al-Qasabi,Male
Public Investment Fund,Altro,Consiglio di amministrazione,Member,HE,Mohammed,bin Abdulmalek Al-Sheikh,Male
Public Investment Fund,Altro,Direzione esecutiva,Chief financial officer,,Yasir,Abdullah Al-Salman,Male
Public Investment Fund,Altro,Direzione esecutiva,Chief of staff and Secretary general,,Saad,Alkroud,Male
Public Investment Fund,Altro,Direzione esecutiva,Chief operating officer,,Bander,bin Abdulrahman bin Mogren,Male
Public Investment Fund,Altro,Direzione esecutiva,"Deputy governor, and Head of international investments division",,Turqi,Al-Nowaiser,Male
Public Investment Fund,Altro,Direzione esecutiva,"Deputy governor, and Head of MENA Investments",,Yazeed,Abdulrahman Al-Humied,Male
Public Investment Fund,Altro,Direzione esecutiva,Head of Compliance & Governance Divisions,,Rania,Nashar,Female
Public Investment Fund,Altro,Direzione esecutiva,Head of Corporate Affairs Division,,Kevin,Foster,Male
Public Investment Fund,Altro,Direzione esecutiva,Head of Global Capital Finance Division,,Fahad,Al-Saif,Male
Public Investment Fund,Altro,Direzione esecutiva,Head of Internal Audit​​​​ Division,,Mike,Cheng,Male
Public Investment Fund,Altro,Direzione esecutiva,Head of Local Real Estate Investments Division,,Aiman,Mohammed Al-Mudaifer,Male
Public Investment Fund,Altro,Direzione esecutiva,Head of National Development Division,,Jerry,Todd,Male
Public Investment Fund,Altro,Direzione esecutiva,Head of Risk Division,,Feta,Zabeli,Male
Qiddiya Investment Company,Azienda,Consiglio di amministrazione,Chairman,HRH Crown Prince,Mohammed,bin Salman bin Abdulaziz Al-Saud,Male
Qiddiya Investment Company,Azienda,Consiglio di amministrazione,Managing Director,,Abdullah,bin Nasser Aldawood,Male
Qiddiya Investment Company,Azienda,Consiglio di amministrazione,Member,Dr,Rakan,Al-Harthy,Male
Qiddiya Investment Company,Azienda,Consiglio di amministrazione,Member,HE,Yasir,Al-Rumayyan,Male
Qiddiya Investment Company,Azienda,Consiglio di amministrazione,Member,Eng,Faisal,Bafarat,Male
Qiddiya Investment Company,Azienda,Consiglio di amministrazione,Member,HE,Majid,bin Abdullah Al-Hogail,Male
Qiddiya Investment Company,Azienda,Consiglio di amministrazione,Member,HE Mr,Hindi,bin Abdullah Alsohimi,Male
Qiddiya Investment Company,Azienda,Consiglio di amministrazione,Member,HH Prince,Badr,bin Abdullah bin Mohammed bin Farhan Al-Saud,Male
Qiddiya Investment Company,Azienda,Consiglio di amministrazione,Member,HE,Fahd,bin Abdulmohsen Al-Rasheed,Male
Qiddiya Investment Company,Azienda,Consiglio di amministrazione,Member,HE Eng,Ibrahim,bin Mohammed Al-Sultan,Male
Qiddiya Investment Company,Azienda,Consiglio di amministrazione,Member,HRH Prince,Abdulaziz,bin Turki bin Faisal Al-Saud,Male
Qiddiya Investment Company,Azienda,Consiglio di amministrazione,Member,HH Princess,Haifa,bint Mohammed Al-Saud,Female
Qiddiya Investment Company,Azienda,Consiglio di amministrazione,Member,Mr.,Fahd,Hamidaddin,Male
Quality of Life Program,Altro,Consiglio di amministrazione,Chairman,HE,Ahmed,Al-Khateeb,Male
Quality of Life Program,Altro,Consiglio di amministrazione,Chief executive officer,Mr,Khalid,bin Abdullah Al-Baker,Male
Quality of Life Program,Altro,Consiglio di amministrazione,Member,HE Mr,Sulaiman,bin Abdulaziz Al-Obaid,Male
Quality of Life Program,Altro,Consiglio di amministrazione,Member,Dr,Hani,bin Abdulaziz Joukhadar,Male
Quality of Life Program,Altro,Consiglio di amministrazione,Member,HE,Majid,bin Abdullah Al-Hogail,Male
Quality of Life Program,Altro,Consiglio di amministrazione,Member,Councelor,Raed,bin Abdullah bin Ahmed,Male
Quality of Life Program,Altro,Consiglio di amministrazione,Member,HE Mr,Turki,bin Abdulmohsen Al-Sheikh,Male
Quality of Life Program,Altro,Consiglio di amministrazione,Member,HE Mr,Bader,bin Abdulrahman Alkadi,Male
Quality of Life Program,Altro,Consiglio di amministrazione,Member,HE Dr,Mohammed,bin Ahmed Al-Sudairy,Male
Quality of Life Program,Altro,Consiglio di amministrazione,Member,Dr,Fahad,bin Hassan Al-Aqran,Male
Quality of Life Program,Altro,Consiglio di amministrazione,Member,Dr,Osama,bin Ibrahim Fakiha,Male
Quality of Life Program,Altro,Consiglio di amministrazione,Member,HE Eng,Ibrahim,bin Mohammed Al-Sultan,Male
Quality of Life Program,Altro,Consiglio di amministrazione,Member,HE,Hamid,bin Mohammed Fayez,Male
Quality of Life Program,Altro,Consiglio di amministrazione,Member,HE Dr,Saad,bin Othman Alkasabi,Male
Quality of Life Program,Altro,Consiglio di amministrazione,Member,Eng,Faisal,bin Saeed Bafart,Male
Quality of Life Program,Altro,Consiglio di amministrazione,Member,HH Princess,Haifa,bint Mohammed Al-Saud,Female
Quality of Life Program,Altro,Consiglio di amministrazione,Member,Dr,Ayman,Mohammed Al-refaie,Male
Quality of Life Program,Altro,Consiglio di amministrazione,Member,Mr,Abdulrahman,Nasser Al-Rashed,Male
Red Sea Global,Azienda,Comitato consultivo,Member,,Philippe,Cousteau Jr.,Male
Red Sea Global,Azienda,Comitato consultivo,Member,,Carlos,Duarte,Male
Red Sea Global,Azienda,Comitato consultivo,Member,MBE,Sue,Harmsworth,Female
Red Sea Global,Azienda,Comitato consultivo,Member,,Frances-Anne,Keeler,Female
Red Sea Global,Azienda,Comitato consultivo,Member,,Aradhana,Khowala,Female
Red Sea Global,Azienda,Comitato consultivo,Member,,Piers,Schmidt,Male
Red Sea Global,Azienda,Comitato consultivo,Member,,Horst,Schulze,Male
Red Sea Global,Azienda,Comitato consultivo,Member,HE Dr,Mohamed,Waheed Hassan,Male
Red Sea Global,Azienda,Comitato consultivo,Secretary General,Dr,Maryam,Ali Ficociello,Female
Red Sea Global,Azienda,Consiglio di amministrazione,Chairman,HRH Crown Prince,Mohammed,bin Salman bin Abdulaziz Al-Saud,Male
Red Sea Global,Azienda,Consiglio di amministrazione,Member,HE,Ahmed,Al-Khateeb,Male
Red Sea Global,Azienda,Consiglio di amministrazione,Member,Eng,Nadhmi,Al-Nasr,Male
Red Sea Global,Azienda,Consiglio di amministrazione,Member,HE,Yasir,Al-Rumayyan,Male
Red Sea Global,Azienda,Consiglio di amministrazione,Member,HE,Majid,bin Abdullah Al-Hogail,Male
Red Sea Global,Azienda,Consiglio di amministrazione,Member,HE,Majid,bin Abdullah Al-Qasabi,Male
Red Sea Global,Azienda,Consiglio di amministrazione,Member,HH Prince,Badr,bin Abdullah bin Mohammed bin Farhan Al-Saud,Male
Red Sea Global,Azienda,Consiglio di amministrazione,Member,HE Dr,Fahad,bin Abdullah Toonsi,Male
